frame,dt,speedKmh,throttleRaw,throttleSmoothed,vehicleSpeedFeedbackKmh,engineRpmFeedback,currentGear,targetGear,requestsShift,lastShiftDirection,timeSinceLastShiftS,kickdownActive,throttleDeltaHistory,engineRpm,upshiftSpeed,downshiftSpeed,twinState,clutchPressure
108,0.016000,18.068,1.0000,1.0000,18.068,1161.4,1,1,0,0,1.7280,1,0.0000,2224.0,70.000,0.000,3,1.0000
109,0.016000,18.190,1.0000,1.0000,18.190,1163.8,1,1,0,0,1.7440,1,0.0000,2239.0,70.000,0.000,3,1.0000
110,0.016000,18.313,1.0000,1.0000,18.313,1166.3,1,1,0,0,1.7600,1,0.0000,2254.1,70.000,0.000,3,1.0000
111,0.016000,18.435,1.0000,1.0000,18.435,1168.7,1,1,0,0,1.7760,1,0.0000,2269.1,70.000,0.000,3,1.0000
112,0.016000,18.557,1.0000,1.0000,18.557,1171.1,1,1,0,0,1.7920,1,0.0000,2284.2,70.000,0.000,3,1.0000
113,0.016000,18.679,1.0000,1.0000,18.679,1173.6,1,1,0,0,1.8080,1,0.0000,2299.2,70.000,0.000,3,1.0000
114,0.016000,18.801,1.0000,1.0000,18.801,1176.0,1,1,0,0,1.8240,1,0.0000,2314.2,70.000,0.000,3,1.0000
115,0.016000,18.924,1.0000,1.0000,18.924,1178.5,1,1,0,0,1.8400,1,0.0000,2329.3,70.000,0.000,3,1.0000
116,0.016000,19.046,1.0000,1.0000,19.046,1180.9,1,1,0,0,1.8560,1,0.0000,2344.3,70.000,0.000,3,1.0000
117,0.016000,19.168,1.0000,1.0000,19.168,1183.4,1,1,0,0,1.8720,1,0.0000,2359.3,70.000,0.000,3,1.0000
118,0.016000,19.290,1.0000,1.0000,19.290,1185.8,1,1,0,0,1.8880,1,0.0000,2374.4,70.000,0.000,3,1.0000
119,0.016000,19.412,1.0000,1.0000,19.412,1188.2,1,1,0,0,1.9040,1,0.0000,2389.4,70.000,0.000,3,1.0000
120,0.016000,19.534,1.0000,1.0000,19.534,1190.7,1,1,0,0,1.9200,1,0.0000,2404.4,70.000,0.000,3,1.0000
121,0.016000,19.656,1.0000,1.0000,19.656,1193.1,1,1,0,0,1.9360,1,0.0000,2419.5,70.000,0.000,3,1.0000
122,0.016000,19.778,1.0000,1.0000,19.778,1195.6,1,1,0,0,1.9520,1,0.0000,2434.5,70.000,0.000,3,1.0000
123,0.016000,19.900,1.0000,1.0000,19.900,1198.0,1,1,0,0,1.9680,1,0.0000,2449.5,70.000,0.000,3,1.0000
124,0.016000,20.022,1.0000,1.0000,20.022,1200.4,1,1,0,0,1.9840,1,0.0000,2464.5,70.000,0.000,3,1.0000
125,0.016000,20.144,1.0000,1.0000,20.144,1202.9,1,1,0,0,2.0000,1,0.0000,2479.5,70.000,0.000,3,1.0000
126,0.016000,20.266,1.0000,1.0000,20.266,1205.3,1,1,0,0,2.0160,1,0.0000,2494.6,70.000,0.000,3,1.0000
127,0.016000,20.388,1.0000,1.0000,20.388,1207.8,1,1,0,0,2.0320,1,0.0000,2509.6,70.000,0.000,3,1.0000
128,0.016000,20.510,1.0000,1.0000,20.510,1210.2,1,1,0,0,2.0480,1,0.0000,2524.6,70.000,0.000,3,1.0000
129,0.016000,20.632,1.0000,1.0000,20.632,1212.6,1,1,0,0,2.0640,1,0.0000,2539.6,70.000,0.000,3,1.0000
130,0.016000,20.754,1.0000,1.0000,20.754,1215.1,1,1,0,0,2.0800,1,0.0000,2554.6,70.000,0.000,3,1.0000
131,0.016000,20.876,1.0000,1.0000,20.876,1217.5,1,1,0,0,2.0960,1,0.0000,2569.6,70.000,0.000,3,1.0000
132,0.016000,20.998,1.0000,1.0000,20.998,1220.0,1,1,0,0,2.1120,1,0.0000,2584.6,70.000,0.000,3,1.0000
133,0.016000,21.120,1.0000,1.0000,21.120,1222.4,1,1,0,0,2.1280,1,0.0000,2599.6,70.000,0.000,3,1.0000
134,0.016000,21.242,1.0000,1.0000,21.242,1224.8,1,1,0,0,2.1440,1,0.0000,2614.6,70.000,0.000,3,1.0000
135,0.016000,21.364,1.0000,1.0000,21.364,1227.3,1,1,0,0,2.1600,1,0.0000,2629.6,70.000,0.000,3,1.0000
136,0.016000,21.485,1.0000,1.0000,21.485,1229.7,1,1,0,0,2.1760,1,0.0000,2644.6,70.000,0.000,3,1.0000
137,0.016000,21.607,1.0000,1.0000,21.607,1232.1,1,1,0,0,2.1920,1,0.0000,2659.6,70.000,0.000,3,1.0000
138,0.016000,21.729,1.0000,1.0000,21.729,1234.6,1,1,0,0,2.2080,1,0.0000,2674.6,70.000,0.000,3,1.0000
139,0.016000,21.851,1.0000,1.0000,21.851,1237.0,1,1,0,0,2.2240,1,0.0000,2689.6,70.000,0.000,3,1.0000
140,0.016000,21.973,1.0000,1.0000,21.973,1239.5,1,1,0,0,2.2400,1,0.0000,2704.6,70.000,0.000,3,1.0000
141,0.016000,22.094,1.0000,1.0000,22.094,1241.9,1,1,0,0,2.2560,1,0.0000,2719.6,70.000,0.000,3,1.0000
142,0.016000,22.216,1.0000,1.0000,22.216,1244.3,1,1,0,0,2.2720,1,0.0000,2734.6,70.000,0.000,3,1.0000
143,0.016000,22.338,1.0000,1.0000,22.338,1246.8,1,1,0,0,2.2880,1,0.0000,2749.6,70.000,0.000,3,1.0000
144,0.016000,22.460,1.0000,1.0000,22.460,1249.2,1,1,0,0,2.3040,1,0.0000,2764.5,70.000,0.000,3,1.0000
145,0.016000,22.581,1.0000,1.0000,22.581,1251.6,1,1,0,0,2.3200,1,0.0000,2779.5,70.000,0.000,3,1.0000
146,0.016000,22.703,1.0000,1.0000,22.703,1254.1,1,1,0,0,2.3360,1,0.0000,2794.5,70.000,0.000,3,1.0000
147,0.016000,22.825,1.0000,1.0000,22.825,1256.5,1,1,0,0,2.3520,1,0.0000,2809.5,70.000,0.000,3,1.0000
148,0.016000,22.946,1.0000,1.0000,22.946,1258.9,1,1,0,0,2.3680,1,0.0000,2824.4,70.000,0.000,3,1.0000
149,0.016000,23.068,1.0000,1.0000,23.068,1261.4,1,1,0,0,2.3840,1,0.0000,2839.4,70.000,0.000,3,1.0000
150,0.016000,23.190,1.0000,1.0000,23.190,1263.8,1,1,0,0,2.4000,1,0.0000,2854.4,70.000,0.000,3,1.0000
151,0.016000,23.311,1.0000,1.0000,23.311,1266.2,1,1,0,0,2.4160,1,0.0000,2869.4,70.000,0.000,3,1.0000
